,plot_id,center_lon,center_lat,size_m,shape,sample_points,email,flagged,flagged_reason,confidence,collection_time,analysis_duration,common_securewatch_date,total_securewatch_dates,pl_plotid,Land Cover Elements:Trees_CanopyCover,Land Cover Elements:bush/scrub,Land Cover Elements:grass,Land Cover Elements:cultivated vegetation,Land Cover Elements:Water>treated pool,Land Cover Elements:Water>lake/ponded/container,Land Cover Elements:Water>rivers/stream,Land Cover Elements:Water>irrigation ditch,Land Cover Elements:shadow,Land Cover Elements:unknown,Land Cover Elements:Bare Ground,Land Cover Elements:Building,Land Cover Elements:Impervious Surface (no building),AOI Number
1682,140878753,-121.86641797833047,37.7140813040148,square,100.0,100,5,False,,100.0,2021-08-03 00:30,353.8 secs,,0,4517,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,46.0,45.0
1683,140878754,-121.86073396388414,37.7140813040148,square,100.0,100,5,False,,100.0,2021-08-03 00:34,240.6 secs,,0,4518,16.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,33.0,45.0
1684,140878755,-121.88915403611584,37.70958469598521,square,100.0,100,5,False,,100.0,2021-08-03 00:37,195.0 secs,,0,4519,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,43.0,45.0
1698,140878769,-121.87778600722316,37.70059147992602,square,100.0,100,5,False,,100.0,2021-08-03 01:03,60.8 secs,,0,4533,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,83.0,45.0
1781,140878852,-97.8032377943153,30.450437520073983,square,100.0,100,66,False,,100.0,2021-07-15 03:18,380.7 secs,,0,4805,74.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,12.0,8.0,48.0
1732,140878803,-77.58498052,37.67086809,square,100.0,100,61,False,,100.0,2021-07-22 02:15,76.5 secs,,0,4630,84.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,46.0
1724,140878795,-77.5963433,37.6753647,square,100.0,100,61,False,,100.0,2021-07-22 01:01,238.5 secs,,0,4622,24.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,46.0
1723,140878794,-77.6020247,37.6753647,square,100.0,100,61,False,,100.0,2021-07-22 00:57,150.1 secs,,0,4621,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,46.0
1717,140878788,-77.6020247,37.6798613,square,100.0,100,61,False,,100.0,2021-07-22 00:12,51.2 secs,,0,4615,95.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,46.0
1716,140878787,-77.60770609,37.6798613,square,100.0,100,61,False,,100.0,2021-07-22 00:11,16.4 secs,,0,4614,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
1705,140878776,-77.6020247,37.68885452,square,100.0,100,61,False,,100.0,2021-07-21 20:20,524.9 secs,,0,4603,30.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,11.0,21.0,46.0
1702,140878773,-77.599184,37.677613,square,100.0,100,61,False,,100.0,2021-07-21 19:48,559.3 secs,,0,4600,62.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,46.0
1701,140878772,-121.86073396388414,37.70059147992602,square,100.0,100,5,False,,100.0,2021-08-03 01:22,860.4 secs,,0,4536,14.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,25.0,34.0,45.0
1700,140878771,-121.86641797833047,37.70059147992602,square,100.0,100,5,False,,100.0,2021-08-03 01:07,177.7 secs,,0,4535,26.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,24.0,45.0
1699,140878770,-121.87210199277682,37.70059147992602,square,100.0,100,5,False,,100.0,2021-08-03 01:04,68.8 secs,,0,4534,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,71.0,45.0
1697,140878768,-121.8834700216695,37.70059147992602,square,100.0,100,5,False,,100.0,2021-08-03 01:02,120.7 secs,,0,4532,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,45.0
1685,140878756,-121.8834700216695,37.70958469598521,square,100.0,100,5,False,,100.0,2021-08-03 00:39,115.8 secs,,0,4520,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,30.0,25.0,45.0
1696,140878767,-121.88915403611584,37.70059147992602,square,100.0,100,5,False,,100.0,2021-08-03 01:00,97.0 secs,,0,4531,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,42.0,45.0
1695,140878766,-121.86073396388414,37.70508808795561,square,100.0,100,5,False,,100.0,2021-08-03 00:58,51.9 secs,,0,4530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,24.0,45.0
1694,140878765,-121.86641797833047,37.70508808795561,square,100.0,100,5,False,,100.0,2021-08-03 00:57,165.8 secs,,0,4529,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,69.0,45.0
1693,140878764,-121.87210199277682,37.70508808795561,square,100.0,100,5,False,,100.0,2021-08-03 00:55,80.4 secs,,0,4528,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,61.0,45.0
1692,140878763,-121.87778600722316,37.70508808795561,square,100.0,100,5,False,,100.0,2021-08-03 00:53,81.9 secs,,0,4527,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,44.0,45.0
1691,140878762,-121.8834700216695,37.70508808795561,square,100.0,100,5,False,,100.0,2021-08-03 00:52,45.1 secs,,0,4526,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,70.0,45.0
1690,140878761,-121.88915403611584,37.70508808795561,square,100.0,100,5,False,,100.0,2021-08-03 00:51,61.3 secs,,0,4525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,94.0,45.0
1689,140878760,-121.86073396388414,37.70958469598521,square,100.0,100,5,False,,100.0,2021-08-03 00:50,76.5 secs,,0,4524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,56.0,45.0
1688,140878759,-121.86641797833047,37.70958469598521,square,100.0,100,5,False,,100.0,2021-08-03 00:49,288.1 secs,,0,4523,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,32.0,54.0,45.0
1687,140878758,-121.87210199277682,37.70958469598521,square,100.0,100,5,False,,100.0,2021-08-03 00:44,264.1 secs,,0,4522,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,62.0,45.0
1686,140878757,-121.87778600722316,37.70958469598521,square,100.0,100,5,False,,100.0,2021-08-03 00:40,41.4 secs,,0,4521,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,45.0
1656,140878727,-96.76480642123867,33.18270708795561,square,100.0,100,60,False,,100.0,2021-07-21 20:39,9374.3 secs,,0,4428,8.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,55.0,20.0,44.0
1654,140878725,-96.77555273628394,33.18270708795561,square,100.0,100,60,False,,100.0,2021-07-21 17:58,53.3 secs,,0,4426,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,44.0
1450,140878521,-83.79740863030095,42.3473449120444,square,100.0,100,51,False,,100.0,2021-07-12 20:41,85.6 secs,,0,3907,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,39.0
1653,140878724,-96.78092589380655,33.18270708795561,square,100.0,100,60,False,,100.0,2021-07-21 17:57,213.9 secs,,0,4425,22.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,19.0,25.0,44.0
1475,140878546,-83.79132517818057,42.32935847992602,square,100.0,100,51,False,,100.0,2021-07-12 21:57,145.9 secs,,0,3932,80.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,39.0
1474,140878545,-83.79740863030095,42.32935847992602,square,100.0,100,51,False,,100.0,2021-07-12 21:54,189.2 secs,,0,3931,58.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,2.0,39.0
1473,140878544,-83.76699136969906,42.33385508795561,square,100.0,100,51,False,,100.0,2021-07-12 21:51,107.3 secs,,0,3930,22.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,39.0
1472,140878543,-83.77307482181943,42.33385508795561,square,100.0,100,51,False,,100.0,2021-07-12 21:49,191.6 secs,,0,3929,21.0,45.0,0.0,6.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,39.0
1471,140878542,-83.77915827393981,42.33385508795561,square,100.0,100,51,False,,100.0,2021-07-12 21:46,116.9 secs,,0,3928,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,39.0
1470,140878541,-83.78524172606019,42.33385508795561,square,100.0,100,51,False,,100.0,2021-07-12 21:44,77.6 secs,,0,3927,7.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,39.0
1469,140878540,-83.79132517818057,42.33385508795561,square,100.0,100,51,False,,100.0,2021-07-12 21:43,97.9 secs,,0,3926,24.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,39.0
1468,140878539,-83.79740863030095,42.33385508795561,square,100.0,100,51,False,,100.0,2021-07-12 21:41,132.8 secs,,0,3925,1.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,39.0
1467,140878538,-83.76699136969906,42.33835169598521,square,100.0,100,51,False,,100.0,2021-07-12 21:39,104.2 secs,,0,3924,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
1466,140878537,-83.77307482181943,42.33835169598521,square,100.0,100,51,False,,100.0,2021-07-12 21:37,85.6 secs,,0,3923,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
1465,140878536,-83.77915827393981,42.33835169598521,square,100.0,100,51,False,,100.0,2021-07-12 21:36,111.3 secs,,0,3922,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
1464,140878535,-83.78524172606019,42.33835169598521,square,100.0,100,51,False,,100.0,2021-07-12 21:34,127.7 secs,,0,3921,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,3.0,39.0
1463,140878534,-83.79132517818057,42.33835169598521,square,100.0,100,51,False,,100.0,2021-07-12 21:32,181.0 secs,,0,3920,20.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,12.0,0.0,0.0,39.0
1462,140878533,-83.79740863030095,42.33835169598521,square,100.0,100,51,False,,100.0,2021-07-12 21:29,98.9 secs,,0,3919,25.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,39.0
1461,140878532,-83.76699136969906,42.3428483040148,square,100.0,100,51,False,,100.0,2021-07-12 21:27,158.5 secs,,0,3918,38.0,0.0,14.0,7.0,0.0,0.0,0.0,0.0,31.0,0.0,9.0,1.0,0.0,39.0
1460,140878531,-83.77307482181943,42.3428483040148,square,100.0,100,51,False,,100.0,2021-07-12 21:24,150.2 secs,,0,3917,4.0,0.0,75.0,0.0,0.0,3.0,0.0,0.0,16.0,0.0,2.0,0.0,0.0,39.0
1459,140878530,-83.77915827393981,42.3428483040148,square,100.0,100,51,False,,100.0,2021-07-12 21:22,251.5 secs,,0,3916,23.0,0.0,34.0,20.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,6.0,39.0
1458,140878529,-83.78524172606019,42.3428483040148,square,100.0,100,51,False,,100.0,2021-07-12 21:18,1405.7 secs,,0,3915,38.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,9.0,6.0,39.0
1457,140878528,-83.79132517818057,42.3428483040148,square,100.0,100,51,False,,100.0,2021-07-12 20:54,120.2 secs,,0,3914,68.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,39.0
1456,140878527,-83.79740863030095,42.3428483040148,square,100.0,100,51,False,,100.0,2021-07-12 20:52,128.2 secs,,0,3913,72.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,39.0
1455,140878526,-83.76699136969906,42.3473449120444,square,100.0,100,51,False,,100.0,2021-07-12 20:50,127.9 secs,,0,3912,28.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,39.0
1454,140878525,-83.77307482181943,42.3473449120444,square,100.0,100,51,False,,100.0,2021-07-12 20:48,107.6 secs,,0,3911,15.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,39.0
1453,140878524,-83.77915827393981,42.3473449120444,square,100.0,100,51,False,,100.0,2021-07-12 20:46,84.2 secs,,0,3910,12.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
1452,140878523,-83.78524172606019,42.3473449120444,square,100.0,100,51,False,,100.0,2021-07-12 20:45,117.4 secs,,0,3909,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,39.0
1451,140878522,-83.79132517818057,42.3473449120444,square,100.0,100,51,False,,100.0,2021-07-12 20:43,80.4 secs,,0,3908,0.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
1476,140878547,-83.78524172606019,42.32935847992602,square,100.0,100,51,False,,100.0,2021-07-12 21:58,103.9 secs,,0,3933,41.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,39.0
1477,140878548,-83.77915827393981,42.32935847992602,square,100.0,100,51,False,,100.0,2021-07-12 22:01,166.1 secs,,0,3934,27.0,22.0,28.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,7.0,0.0,39.0
1478,140878549,-83.77307482181943,42.32935847992602,square,100.0,100,51,False,,100.0,2021-07-12 22:39,2256.2 secs,,0,3935,65.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,5.0,0.0,0.0,39.0
1634,140878705,-96.75406010619344,33.20069352007399,square,100.0,100,60,False,,100.0,2021-07-20 04:22,235.2 secs,,0,4406,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,43.0,23.0,44.0
1652,140878723,-96.75406010619344,33.18720369598521,square,100.0,100,60,False,,100.0,2021-07-21 17:53,521.1 secs,,0,4424,17.0,1.0,17.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,44.0,19.0,44.0
1650,140878721,-96.76480642123867,33.18720369598521,square,100.0,100,60,False,,100.0,2021-07-21 17:43,1225.3 secs,,0,4422,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,46.0,16.0,44.0
1649,140878720,-96.77017957876132,33.18720369598521,square,100.0,100,60,False,,100.0,2021-07-21 17:22,5903.6 secs,,0,4421,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,21.0,23.0,44.0
1648,140878719,-96.77555273628394,33.18720369598521,square,100.0,100,60,False,,100.0,2021-07-20 23:11,49.2 secs,,0,4420,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,44.0
1647,140878718,-96.78092589380655,33.18720369598521,square,100.0,100,60,False,,100.0,2021-07-20 23:10,53.4 secs,,0,4419,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,44.0
1646,140878717,-96.75406010619344,33.1917003040148,square,100.0,100,60,False,,100.0,2021-07-20 23:10,117.3 secs,,0,4418,0.0,0.0,52.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,20.0,44.0
1644,140878715,-96.76480642123867,33.1917003040148,square,100.0,100,60,False,,100.0,2021-07-20 23:05,140.0 secs,,0,4416,0.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,24.0,33.0,44.0
1638,140878709,-96.76480642123867,33.1961969120444,square,100.0,100,60,False,,100.0,2021-07-20 04:30,135.3 secs,,0,4410,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,16.0,22.0,44.0
1637,140878708,-96.77017957876132,33.1961969120444,square,100.0,100,60,False,,100.0,2021-07-20 04:28,153.1 secs,,0,4409,12.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,44.0
1636,140878707,-96.77555273628394,33.1961969120444,square,100.0,100,60,False,,100.0,2021-07-20 04:26,28.0 secs,,0,4408,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,10.0,44.0
1635,140878706,-96.78092589380655,33.1961969120444,square,100.0,100,60,False,,100.0,2021-07-20 04:25,186.9 secs,,0,4407,7.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,7.0,9.0,44.0
1633,140878704,-96.75943326371606,33.20069352007399,square,100.0,100,60,False,,100.0,2021-07-20 04:18,196.5 secs,,0,4405,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,39.0,28.0,44.0
1479,140878550,-83.76699136969906,42.32935847992602,square,100.0,100,51,False,,100.0,2021-07-12 22:44,290.1 secs,,0,3936,28.0,22.0,26.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,7.0,0.0,0.0,39.0
1632,140878703,-96.76480642123867,33.20069352007399,square,100.0,100,60,False,,100.0,2021-07-20 04:15,222.4 secs,,0,4404,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,30.0,20.0,29.0,44.0
1631,140878702,-96.77017957876132,33.20069352007399,square,100.0,100,60,False,,100.0,2021-07-20 04:11,30.9 secs,,0,4403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,44.0
1630,140878701,-96.77555273628394,33.20069352007399,square,100.0,100,60,False,,100.0,2021-07-20 04:10,478.7 secs,,0,4402,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,44.0
1629,140878700,-96.78092589380655,33.20069352007399,square,100.0,100,60,False,,100.0,2021-07-16 02:27,14335.2 secs,,0,4401,40.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,14.0,44.0
1628,140878699,-96.767493,33.189452,square,100.0,100,60,False,,100.0,2021-07-15 22:29,82413.9 secs,,0,4400,0.0,14.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,58.0,44.0
1517,140878588,-111.045229,31.509516,square,100.0,100,48,False,,100.0,2021-07-14 23:41,778.3 secs,,0,4100,36.0,14.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,41.0
364,141074152,-78.38837584141999,43.1154903142772,square,100.0,100,52,False,,100.0,2021-07-27 16:40,39.9 secs,,0,11031,76.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
365,141074153,-78.38221478280214,43.1154903142772,square,100.0,100,52,False,,100.0,2021-07-27 16:40,3.7 secs,,0,11032,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
366,141074154,-78.37605372418429,43.1154903142772,square,100.0,100,52,False,,100.0,2021-07-27 16:40,23.4 secs,,0,11033,13.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
984,140963479,-74.09052409469709,40.92845169598521,square,100.0,100,63,False,,100.0,2021-07-24 01:50,2.2 secs,,0,8322,43.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,4.0,23.0,83.0
1048,140963543,-97.71360575734089,30.40526691204439,square,100.0,100,16,False,,100.0,2021-07-16 18:45,7615.7 secs,,0,8512,38.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,16.0,85.0
1047,140963542,-97.71881905440452,30.40526691204439,square,100.0,100,16,False,,100.0,2021-07-16 18:38,7418.4 secs,,0,8511,0.0,0.0,23.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,23.0,85.0
1046,140963541,-97.72403235146818,30.40526691204439,square,100.0,100,16,False,,100.0,2021-07-16 18:35,7384.0 secs,,0,8510,8.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,85.0
1045,140963540,-97.72924564853184,30.40526691204439,square,100.0,100,16,False,,100.0,2021-07-16 18:32,7899.6 secs,,0,8509,74.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,85.0
1044,140963539,-97.73445894559548,30.40526691204439,square,100.0,100,16,False,,100.0,2021-07-16 18:20,8094.1 secs,,0,8508,38.0,0.0,36.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,85.0
1043,140963538,-97.73967224265913,30.40526691204439,square,100.0,100,16,False,,100.0,2021-07-16 18:05,7483.5 secs,,0,8507,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,19.0,85.0
1042,140963537,-97.71360575734089,30.409763520073984,square,100.0,100,16,False,,100.0,2021-07-16 18:01,7542.5 secs,,0,8506,13.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,58.0,85.0
1041,140963536,-97.71881905440452,30.409763520073984,square,100.0,100,16,False,,100.0,2021-07-16 17:55,7481.9 secs,,0,8505,39.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,17.0,85.0
1040,140963535,-97.72403235146818,30.409763520073984,square,100.0,100,16,False,,100.0,2021-07-16 17:50,7385.9 secs,,0,8504,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,85.0
1039,140963534,-97.72924564853184,30.409763520073984,square,100.0,100,16,False,,100.0,2021-07-16 17:47,7425.3 secs,,0,8503,72.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,85.0
1038,140963533,-97.73445894559548,30.409763520073984,square,100.0,100,16,False,,100.0,2021-07-16 17:44,7549.2 secs,,0,8502,37.0,0.0,5.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,85.0
1037,140963532,-97.73967224265913,30.409763520073984,square,100.0,100,16,False,,100.0,2021-07-16 17:38,7549.3 secs,,0,8501,56.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,16.0,85.0
1036,140963531,-97.726639,30.398522,square,100.0,100,16,False,,100.0,2021-07-16 17:32,7493.3 secs,,0,8500,16.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,66.0,85.0
998,140963493,-74.07862047348542,40.91945847992602,square,100.0,100,63,False,,100.0,2021-07-22 04:07,123.8 secs,,0,8336,20.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,63.0,83.0
997,140963492,-74.08457228409125,40.91945847992602,square,100.0,100,63,False,,100.0,2021-07-22 04:05,228.6 secs,,0,8335,9.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,15.0,0.0,60.0,83.0
996,140963491,-74.09052409469709,40.91945847992602,square,100.0,100,63,False,,100.0,2021-07-22 04:01,171.3 secs,,0,8334,32.0,0.0,42.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,12.0,83.0
995,140963490,-74.09647590530292,40.91945847992602,square,100.0,100,63,False,,100.0,2021-07-22 03:58,325.5 secs,,0,8333,7.0,0.0,5.0,21.0,1.0,0.0,0.0,0.0,10.0,0.0,10.0,16.0,30.0,83.0
994,140963489,-74.10242771590876,40.91945847992602,square,100.0,100,63,False,,100.0,2021-07-22 03:53,242.6 secs,,0,8332,17.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,17.0,16.0,83.0
993,140963488,-74.1083795265146,40.91945847992602,square,100.0,100,63,False,,100.0,2021-07-22 03:48,306.1 secs,,0,8331,16.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,13.0,0.0,3.0,17.0,24.0,83.0
992,140963487,-74.07862047348542,40.92395508795561,square,100.0,100,63,False,,100.0,2021-07-24 01:51,8.7 secs,,0,8330,40.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,9.0,0.0,4.0,83.0
991,140963486,-74.08457228409125,40.92395508795561,square,100.0,100,63,False,,100.0,2021-07-24 01:51,1.6 secs,,0,8329,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,18.0,68.0,83.0
990,140963485,-74.09052409469709,40.92395508795561,square,100.0,100,63,False,,100.0,2021-07-24 01:51,2.2 secs,,0,8328,64.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,5.0,83.0
989,140963484,-74.09647590530292,40.92395508795561,square,100.0,100,63,False,,100.0,2021-07-24 01:51,1.7 secs,,0,8327,25.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,16.0,26.0,83.0
988,140963483,-74.10242771590876,40.92395508795561,square,100.0,100,63,False,,100.0,2021-07-24 01:51,0.9 secs,,0,8326,29.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,10.0,36.0,83.0
986,140963481,-74.07862047348542,40.92845169598521,square,100.0,100,63,False,,100.0,2021-07-24 01:51,10.7 secs,,0,8324,1.0,0.0,22.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,83.0
1049,140963544,-97.73967224265913,30.400770304014795,square,100.0,100,16,False,,100.0,2021-07-17 05:36,46240.8 secs,,0,8513,13.0,0.0,23.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,85.0
1050,140963545,-97.73445894559548,30.400770304014795,square,100.0,100,16,False,,100.0,2021-07-17 15:14,41897.4 secs,,0,8514,31.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,22.0,85.0
1051,140963546,-97.72924564853184,30.400770304014795,square,100.0,100,16,False,,100.0,2021-07-17 15:19,7505.5 secs,,0,8515,6.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,85.0
1065,140963560,-97.71881905440452,30.39177708795561,square,100.0,100,16,False,,100.0,2021-07-18 19:01,7390.2 secs,,0,8529,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,35.0,85.0
